"","estado","nome","partido","coligacao","votos","porcentagem","cargo","ano","turno","maxVotos","ganhou","estados_sigla","uf"
"16","Bahia","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",4292325,4.14,"Presidente",2014,"Turno 1",4292325,TRUE,"BA","BA"
"17","Minas Gerais","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",4829513,4.65,"Presidente",2014,"Turno 1",4829513,TRUE,"MG","MG"
"18","Espirito Santo","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",653469,0.63,"Presidente",2014,"Turno 1",692952,FALSE,"ES","ES"
"19","Rio de Janeiro ","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",2970486,2.86,"Presidente",2014,"Turno 1",2970486,TRUE,"RJ","RJ"
"20","São Paulo","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",5927503,5.71,"Presidente",2014,"Turno 1",10152688,FALSE,"SP","SP"
"21","Paraná","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",1972761,1.9,"Presidente",2014,"Turno 1",3018548,FALSE,"PR","PR"
"22","Santa Catarina","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",1140432,1.1,"Presidente",2014,"Turno 1",1961224,FALSE,"SC","SC"
"23","R. G. do Sul","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",2751098,2.65,"Presidente",2014,"Turno 1",2751098,TRUE,"RS","RS"
"24","M. G. do Sul","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",506951,0.49,"Presidente",2014,"Turno 1",558331,FALSE,"MS","MS"
"25","Mato Grosso","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",616265,0.59,"Presidente",2014,"Turno 1",693251,FALSE,"MT","MT"
"26","Goiás","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",1035673,1,"Presidente",2014,"Turno 1",1340441,FALSE,"GO","GO"
"27","Distrito Federal","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",362511,0.35,"Presidente",2014,"Turno 1",568371,FALSE,"DF","DF"
"28","Rondônia","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",371692,0.36,"Presidente",2014,"Turno 1",371692,TRUE,"RO","RO"
"29","Acre","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",116015,0.11,"Presidente",2014,"Turno 1",116015,TRUE,"AC","AC"
"30","Amazonas","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",325734,0.31,"Presidente",2014,"Turno 1",915030,FALSE,"AM","AM"
"31","Roraima","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",108903,0.1,"Presidente",2014,"Turno 1",108903,TRUE,"RR","RR"
"32","Pará","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",1057860,1.02,"Presidente",2014,"Turno 1",2040696,FALSE,"PA","PA"
"33","Amapá","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",99046,0.1,"Presidente",2014,"Turno 1",198939,FALSE,"AP","AP"
"34","Tocantins","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",202882,0.2,"Presidente",2014,"Turno 1",368348,FALSE,"TO","TO"
"35","Maranhão","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",365443,0.35,"Presidente",2014,"Turno 1",2187668,FALSE,"MA","MA"
"36","Piauí","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",242069,0.23,"Presidente",2014,"Turno 1",1235203,FALSE,"PI","PI"
"37","Ceará","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",676743,0.65,"Presidente",2014,"Turno 1",3087115,FALSE,"CE","CE"
"38","R. G. do Norte","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",329866,0.32,"Presidente",2014,"Turno 1",999452,FALSE,"RN","RN"
"39","Paraíba","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",490516,0.47,"Presidente",2014,"Turno 1",1166632,FALSE,"PB","PB"
"40","Pernambuco","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",284771,0.27,"Presidente",2014,"Turno 1",2126491,FALSE,"PE","PE"
"41","Alagoas","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",311576,0.3,"Presidente",2014,"Turno 1",703674,FALSE,"AL","AL"
"42","Sergipe","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",248424,0.24,"Presidente",2014,"Turno 1",601578,FALSE,"SE","SE"
"43","Bahia","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",1276603,1.23,"Presidente",2014,"Turno 1",4292325,FALSE,"BA","BA"
"44","Minas Gerais","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",4414452,4.25,"Presidente",2014,"Turno 1",4829513,FALSE,"MG","MG"
"45","Espirito Santo","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",692952,0.67,"Presidente",2014,"Turno 1",692952,TRUE,"ES","ES"
"46","Rio de Janeiro ","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",2246363,2.16,"Presidente",2014,"Turno 1",2970486,FALSE,"RJ","RJ"
"47","São Paulo","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",10152688,9.78,"Presidente",2014,"Turno 1",10152688,TRUE,"SP","SP"
"48","Paraná","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",3018548,2.91,"Presidente",2014,"Turno 1",3018548,TRUE,"PR","PR"
"49","Santa Catarina","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",1961224,1.89,"Presidente",2014,"Turno 1",1961224,TRUE,"SC","SC"
"50","R. G. do Sul","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",2637238,2.54,"Presidente",2014,"Turno 1",2751098,FALSE,"RS","RS"
"51","M. G. do Sul","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",558331,0.54,"Presidente",2014,"Turno 1",558331,TRUE,"MS","MS"
"52","Mato Grosso","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",693251,0.67,"Presidente",2014,"Turno 1",693251,TRUE,"MT","MT"
"53","Goiás","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",1340441,1.29,"Presidente",2014,"Turno 1",1340441,TRUE,"GO","GO"
"54","Distrito Federal","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",568371,0.55,"Presidente",2014,"Turno 1",568371,TRUE,"DF","DF"
"55","Rondônia","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",364055,0.35,"Presidente",2014,"Turno 2",442349,FALSE,"RO","RO"
"56","Acre","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",138922,0.13,"Presidente",2014,"Turno 2",243530,FALSE,"AC","AC"
"57","Amazonas","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",1033090,0.98,"Presidente",2014,"Turno 2",1033090,TRUE,"AM","AM"
"58","Roraima","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",97329,0.09,"Presidente",2014,"Turno 2",139477,FALSE,"RR","RR"
"59","Pará","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",2103829,2,"Presidente",2014,"Turno 2",2103829,TRUE,"PA","PA"
"60","Amapá","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",227414,0.22,"Presidente",2014,"Turno 2",227414,TRUE,"AP","AP"
"61","Tocantins","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",428662,0.41,"Presidente",2014,"Turno 2",428662,TRUE,"TO","TO"
"62","Maranhão","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",2475762,2.35,"Presidente",2014,"Turno 2",2475762,TRUE,"MA","MA"
"63","Piauí","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",1385096,1.31,"Presidente",2014,"Turno 2",1385096,TRUE,"PI","PI"
"64","Ceará","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",3522225,3.34,"Presidente",2014,"Turno 2",3522225,TRUE,"CE","CE"
"65","R. G. do Norte","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",1201576,1.14,"Presidente",2014,"Turno 2",1201576,TRUE,"RN","RN"
"66","Paraíba","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",1380988,1.31,"Presidente",2014,"Turno 2",1380988,TRUE,"PB","PB"
"67","Pernambuco","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",3438165,3.26,"Presidente",2014,"Turno 2",3438165,TRUE,"PE","PE"
"68","Alagoas","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",941286,0.89,"Presidente",2014,"Turno 2",941286,TRUE,"AL","AL"
"69","Sergipe","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",772253,0.73,"Presidente",2014,"Turno 2",772253,TRUE,"SE","SE"
"70","Bahia","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",5059228,4.8,"Presidente",2014,"Turno 2",5059228,TRUE,"BA","BA"
"71","Minas Gerais","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",5979422,5.68,"Presidente",2014,"Turno 2",5979422,TRUE,"MG","MG"
"72","Espirito Santo","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",911906,0.87,"Presidente",2014,"Turno 2",1064067,FALSE,"ES","ES"
"73","Rio de Janeiro ","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",4488183,4.26,"Presidente",2014,"Turno 2",4488183,TRUE,"RJ","RJ"
"74","São Paulo","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",8488383,8.06,"Presidente",2014,"Turno 2",15296289,FALSE,"SP","SP"
"75","Paraná","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",2408740,2.29,"Presidente",2014,"Turno 2",3765025,FALSE,"PR","PR"
"76","Santa Catarina","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",1353808,1.29,"Presidente",2014,"Turno 2",2469079,FALSE,"SC","SC"
"77","R. G. do Sul","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",2997360,2.85,"Presidente",2014,"Turno 2",3452455,FALSE,"RS","RS"
"78","M. G. do Sul","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",590835,0.56,"Presidente",2014,"Turno 2",762233,FALSE,"MS","MS"
"79","Mato Grosso","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",717230,0.68,"Presidente",2014,"Turno 2",864999,FALSE,"MT","MT"
"80","Goiás","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",1365658,1.3,"Presidente",2014,"Turno 2",1818087,FALSE,"GO","GO"
"81","Distrito Federal","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",580581,0.55,"Presidente",2014,"Turno 2",943275,FALSE,"DF","DF"
"82","Rondônia","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",442349,0.42,"Presidente",2014,"Turno 2",442349,TRUE,"RO","RO"
"83","Acre","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",243530,0.23,"Presidente",2014,"Turno 2",243530,TRUE,"AC","AC"
"84","Amazonas","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",555810,0.53,"Presidente",2014,"Turno 2",1033090,FALSE,"AM","AM"
"85","Roraima","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",139477,0.13,"Presidente",2014,"Turno 2",139477,TRUE,"RR","RR"
"86","Pará","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",1560470,1.48,"Presidente",2014,"Turno 2",2103829,FALSE,"PA","PA"
"87","Amapá","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",142664,0.14,"Presidente",2014,"Turno 2",227414,FALSE,"AP","AP"
"88","Tocantins","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",291848,0.28,"Presidente",2014,"Turno 2",428662,FALSE,"TO","TO"
"89","Maranhão","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",667517,0.63,"Presidente",2014,"Turno 2",2475762,FALSE,"MA","MA"
"90","Piauí","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",383884,0.36,"Presidente",2014,"Turno 2",1385096,FALSE,"PI","PI"
"91","Ceará","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",1067096,1.01,"Presidente",2014,"Turno 2",3522225,FALSE,"CE","CE"
"92","R. G. do Norte","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",516011,0.49,"Presidente",2014,"Turno 2",1201576,FALSE,"RN","RN"
"93","Paraíba","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",767916,0.73,"Presidente",2014,"Turno 2",1380988,FALSE,"PB","PB"
"94","Pernambuco","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",1459266,1.39,"Presidente",2014,"Turno 2",3438165,FALSE,"PE","PE"
"95","Alagoas","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",574012,0.54,"Presidente",2014,"Turno 2",941286,FALSE,"AL","AL"
"96","Sergipe","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",380222,0.36,"Presidente",2014,"Turno 2",772253,FALSE,"SE","SE"
"97","Bahia","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",2151922,2.04,"Presidente",2014,"Turno 2",5059228,FALSE,"BA","BA"
"98","Minas Gerais","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",5428821,5.15,"Presidente",2014,"Turno 2",5979422,FALSE,"MG","MG"
"99","Espirito Santo","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",1064067,1.01,"Presidente",2014,"Turno 2",1064067,TRUE,"ES","ES"
"100","Rio de Janeiro ","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",3681088,3.49,"Presidente",2014,"Turno 2",4488183,FALSE,"RJ","RJ"
"101","São Paulo","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",15296289,14.52,"Presidente",2014,"Turno 2",15296289,TRUE,"SP","SP"
"102","Paraná","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",3765025,3.57,"Presidente",2014,"Turno 2",3765025,TRUE,"PR","PR"
"103","Santa Catarina","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",2469079,2.34,"Presidente",2014,"Turno 2",2469079,TRUE,"SC","SC"
"104","R. G. do Sul","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",3452455,3.28,"Presidente",2014,"Turno 2",3452455,TRUE,"RS","RS"
"105","M. G. do Sul","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",762233,0.72,"Presidente",2014,"Turno 2",762233,TRUE,"MS","MS"
"106","Mato Grosso","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",864999,0.82,"Presidente",2014,"Turno 2",864999,TRUE,"MT","MT"
"107","Goiás","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",1818087,1.73,"Presidente",2014,"Turno 2",1818087,TRUE,"GO","GO"
"108","Distrito Federal","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",943275,0.9,"Presidente",2014,"Turno 2",943275,TRUE,"DF","DF"
